Method,Project,Recall,Precision,F1,MCC,AUC,GMean
RFF,jruby-1.1,0.5454545454545454,0.42857142857142855,0.4799999999999999,0.4182509562856521,0.7323232323232324,0.708080087608965
RFF,jruby-1.1,0.5454545454545454,0.5217391304347826,0.5333333333333332,0.48034519250261243,0.7449494949494949,0.7177405625652734
RFF,jruby-1.1,0.5,0.4782608695652174,0.4888888888888889,0.43082506956419875,0.7196969696969697,0.6853444168423419
RFF,jruby-1.1,0.45454545454545453,0.4166666666666667,0.43478260869565216,0.36936750089587606,0.6919191919191919,0.6499275936220369
RFF,jruby-1.1,0.5,0.44,0.46808510638297873,0.4057984286223453,0.7146464646464646,0.6816498108607268
RFF,jruby-1.1,0.5,0.3793103448275862,0.4313725490196078,0.3627839637704783,0.7045454545454545,0.674199862463242
RFF,jruby-1.1,0.5,0.4074074074074074,0.44897959183673464,0.3832624761035598,0.7095959595959597,0.6779350703393059
RFF,jruby-1.1,0.5454545454545454,0.4444444444444444,0.4897959183673469,0.4294386780437477,0.7348484848484849,0.7100226978096958
RFF,jruby-1.1,0.5,0.4074074074074074,0.44897959183673464,0.3832624761035598,0.7095959595959597,0.6779350703393059
RFF,jruby-1.1,0.5,0.4583333333333333,0.4782608695652174,0.41796848785585977,0.7171717171717172,0.6834996102206037
RFF,jruby-1.1,0.5,0.44,0.46808510638297873,0.4057984286223453,0.7146464646464646,0.6816498108607268
RFF,jruby-1.1,0.45454545454545453,0.4166666666666667,0.43478260869565216,0.36936750089587606,0.6919191919191919,0.6499275936220369
RFF,jruby-1.1,0.5,0.4230769230769231,0.4583333333333333,0.39424890192530665,0.712121212121212,0.6797949780052895
RFF,jruby-1.1,0.5454545454545454,0.4444444444444444,0.4897959183673469,0.4294386780437477,0.7348484848484849,0.7100226978096958
RFF,jruby-1.1,0.45454545454545453,0.4,0.4255319148936171,0.35805743701971643,0.6893939393939394,0.6481590798850738
RFF,jruby-1.1,0.5,0.4230769230769231,0.4583333333333333,0.39424890192530665,0.712121212121212,0.6797949780052895
RFF,jruby-1.1,0.5,0.44,0.46808510638297873,0.4057984286223453,0.7146464646464646,0.6816498108607268
RFF,jruby-1.1,0.5454545454545454,0.41379310344827586,0.47058823529411764,0.40757210744584593,0.7297979797979798,0.7061321331958208
RFF,jruby-1.1,0.5,0.5,0.5,0.4444444444444444,0.7222222222222221,0.6871842709362768
RFF,jruby-1.1,0.5,0.4074074074074074,0.44897959183673464,0.3832624761035598,0.7095959595959597,0.6779350703393059
RFF,jruby-1.1,0.5,0.4230769230769231,0.4583333333333333,0.39424890192530665,0.712121212121212,0.6797949780052895
RFF,jruby-1.1,0.5,0.4230769230769231,0.4583333333333333,0.39424890192530665,0.712121212121212,0.6797949780052895
RFF,jruby-1.1,0.5,0.5,0.5,0.4444444444444444,0.7222222222222221,0.6871842709362768
RFF,jruby-1.1,0.5,0.44,0.46808510638297873,0.4057984286223453,0.7146464646464646,0.6816498108607268
RFF,jruby-1.1,0.5454545454545454,0.42857142857142855,0.4799999999999999,0.4182509562856521,0.7323232323232324,0.708080087608965
RFF,jruby-1.1,0.5,0.44,0.46808510638297873,0.4057984286223453,0.7146464646464646,0.6816498108607268
RFF,jruby-1.1,0.5,0.39285714285714285,0.44,0.37278889581982033,0.707070707070707,0.676070045979488
RFF,jruby-1.1,0.5454545454545454,0.46153846153846156,0.4999999999999999,0.44118329501165265,0.7373737373737373,0.7119600075436806
RFF,jruby-1.1,0.5454545454545454,0.4444444444444444,0.4897959183673469,0.4294386780437477,0.7348484848484849,0.7100226978096958
RFF,jruby-1.1,0.5454545454545454,0.4444444444444444,0.4897959183673469,0.4294386780437477,0.7348484848484849,0.7100226978096958
RFF,jruby-1.1,0.5,0.44,0.46808510638297873,0.4057984286223453,0.7146464646464646,0.6816498108607268
RFF,jruby-1.1,0.5,0.4583333333333333,0.4782608695652174,0.41796848785585977,0.7171717171717172,0.6834996102206037
RFF,jruby-1.1,0.5454545454545454,0.46153846153846156,0.4999999999999999,0.44118329501165265,0.7373737373737373,0.7119600075436806
RFF,jruby-1.1,0.45454545454545453,0.43478260869565216,0.4444444444444445,0.3813049466257851,0.6944444444444445,0.6516913081092899
RFF,jruby-1.1,0.5,0.4583333333333333,0.4782608695652174,0.41796848785585977,0.7171717171717172,0.6834996102206037
RFF,jruby-1.1,0.5,0.44,0.46808510638297873,0.4057984286223453,0.7146464646464646,0.6816498108607268
RFF,jruby-1.1,0.5,0.44,0.46808510638297873,0.4057984286223453,0.7146464646464646,0.6816498108607268
RFF,jruby-1.1,0.45454545454545453,0.43478260869565216,0.4444444444444445,0.3813049466257851,0.6944444444444445,0.6516913081092899
RFF,jruby-1.1,0.5,0.4230769230769231,0.4583333333333333,0.39424890192530665,0.712121212121212,0.6797949780052895
RFF,jruby-1.1,0.5,0.44,0.46808510638297873,0.4057984286223453,0.7146464646464646,0.6816498108607268
RFF,camel-1.4.0,0.24742268041237114,0.75,0.37209302325581395,0.3605055851272613,0.6125381558486437,0.4918268821113807
RFF,camel-1.4.0,0.32989690721649484,0.8205128205128205,0.47058823529411764,0.45403730121439,0.6551719172953983,0.5687234908377686
RFF,camel-1.4.0,0.29896907216494845,0.7837837837837838,0.43283582089552236,0.4145015881991806,0.6383113517249324,0.540636845806817
RFF,camel-1.4.0,0.27835051546391754,0.75,0.406015037593985,0.38419475431712713,0.6266054253297241,0.5209154219323934
RFF,camel-1.4.0,0.26804123711340205,0.7428571428571429,0.393939393939394,0.3733352856872403,0.6214507861544664,0.5111778264543523
RFF,camel-1.4.0,0.29896907216494845,0.7631578947368421,0.4296296296296297,0.4053663002105426,0.6369147036802396,0.5398639549959031
RFF,camel-1.4.0,0.27835051546391754,0.75,0.406015037593985,0.38419475431712713,0.6266054253297241,0.5209154219323934
RFF,camel-1.4.0,0.36082474226804123,0.6730769230769231,0.4697986577181208,0.4033548050702427,0.6566693543742441,0.5862513168104758
RFF,camel-1.4.0,0.32989690721649484,0.7441860465116279,0.4571428571428572,0.4188548320822124,0.6495853251166273,0.5654736157128682
RFF,camel-1.4.0,0.27835051546391754,0.75,0.406015037593985,0.38419475431712713,0.6266054253297241,0.5209154219323934
RFF,camel-1.4.0,0.24742268041237114,0.8,0.3779527559055118,0.3806712193725788,0.6153314519380291,0.49323010003308215
RFF,camel-1.4.0,0.26804123711340205,0.7428571428571429,0.393939393939394,0.3733352856872403,0.6214507861544664,0.5111778264543523
RFF,camel-1.4.0,0.25773195876288657,0.7575757575757576,0.3846153846153846,0.37170128073167646,0.6176927950239014,0.5019687095653576
RFF,camel-1.4.0,0.31958762886597936,0.7380952380952381,0.4460431654676259,0.40871180229069126,0.6444306859413695,0.5565679628336317
RFF,camel-1.4.0,0.27835051546391754,0.7714285714285715,0.4090909090909091,0.3934737035873819,0.6280020733744168,0.521661185266191
RFF,camel-1.4.0,0.28865979381443296,0.7777777777777778,0.42105263157894735,0.4040751834328206,0.6331567125496745,0.5312337485783782
RFF,camel-1.4.0,0.25773195876288657,0.7575757575757576,0.3846153846153846,0.37170128073167646,0.6176927950239014,0.5019687095653576
RFF,camel-1.4.0,0.27835051546391754,0.7941176470588235,0.4122137404580153,0.4030944835804172,0.6293987214191097,0.5224058839826089
RFF,camel-1.4.0,0.36082474226804123,0.7,0.47619047619047616,0.41764168633106014,0.6594626504636295,0.5879680154099189
RFF,camel-1.4.0,0.28865979381443296,0.7368421052631579,0.41481481481481475,0.38596976360356006,0.630363416460289,0.5297137633497795
RFF,camel-1.4.0,0.25773195876288657,0.8064516129032258,0.39062499999999994,0.3916792061016128,0.6204860911132869,0.5034008628595648
RFF,camel-1.4.0,0.32989690721649484,0.7804878048780488,0.463768115942029,0.4359024567893045,0.6523786212060128,0.5671008812804307
